list_code_wa,criteria_code_wa,assigned_as_in_tsc,tsc_criteria,comments_MP,actions_required
IUCN_2001,"B1ab(iii,v)+B2ab(iii,v)","B1a,B1b(iii,v),B2a,B2b(iii,v)","131,134,136,141,144,146,",,
IUCN_2001,"B1ab(iii,v)+B2ab(iii,v); C2a(i)","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(i)","131,134,136,141,144,146,152,",,
IUCN_2001,"B1ab(iii,v)+B2ab(iii,v); C2a(ii)","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(ii)","131,134,136,141,144,146,153,",,
IUCN_2001,"B1ab(ii,v); D","B1a,B1b(ii,v),D","131,133,136,154,",,
IUCN_2001,B1ab(iv); C2a(ii),"B1a,B1b(iv),C2a(ii)","131,135,158,",,
IUCN_2001,"B1ab(iv,v)+ 2ab(iv,v)","B1a,B1b(iv,v),B2a,B2b(iv,v)","131,135,136,141,145,146,",,
IUCN_2001,B1ab(v)+2ab(v),"B1a,B1b(v),B2a,B2b(v)","131,136,141,146,",,
IUCN_2001,B1ab(v)+2ab(v);C1,"B1a,B1b(v),B2a,B2b(v),C1","131,136,141,146,151,",,
IUCN_2001,B1ab(v)+2ab(v);C2a(i),"B1a,B1b(v),B2a,B2b(v),C2a(i)","131,136,141,146,152,",,
IUCN_2001,B1ab(v)+2ab(v); C2a(i); D,"B1a,B1b(v),B2a,B2b(v),C2a(i), D","131,136,141,146,152,154,",,
IUCN_2001,B1ab(v)+2ab(v); C2a(ii),"B1a,B1b(v),B2a,B2b(v),C2a(ii)","131,136,141,146,158,",,
IUCN_2001,B1ab(v); B2ab(v),"B1a,B1b(v),B2a,B2b(v)","131,136,141,146,",,
IUCN_2001,B1ab(v)+B2ab(v),"B1a,B1b(v),B2a,B2b(v)","131,136,141,146,",,
IUCN_2001,B1ab(v)+B2ab(v); C2a(i); D,"B1a,B1b(v),B2a,B2b(v),C2a(i),D","131,136,141,146,151,152,154,",,
IUCN_2001,B1b(iii)+2ab(iii),"B1b(iii),B2a,B2b(iii)","134,141,144,",,
IUCN_2001,B2ab(ii),"B2a,B2b(ii)","141,143,",,
IUCN_2001,B2ab(iii),"B2a,B2b(iii)","141,144,",,
IUCN_2001,"B2ab(iii), C1","B2a,B2b(iii),C1","141,144,151,",,
IUCN_2001,B2ab(iii); C2a(i),"B2a,B2b(iii),C2a(i)","141,144,152,",,
IUCN_2001,B2ab(iii); C2a(ii),"B2a,B2b(iii),C2a(ii)","141,144,158,",,
IUCN_2001,"B2ab(ii,iii)","B2a,B2b(ii,iii)","141,143,144,",,
IUCN_2001,"B2ab(i,ii,iii,iv)","B2a,B2b(i,ii,iii,iv)","141,142,143,144,145,",,
IUCN_2001,"B2ab(i,ii,iii,iv,v)","B2a,B2b(i,ii,iii,iv,v)","141,142,143,144,145,146,",,
IUCN_2001,"B2a,b,(ii,iii,iv,v)","B2a,B2b(ii,iii,iv,v)","141,143,144,145,146,",,
IUCN_2001,"B2ab(ii,iii,iv,v)","B2a,B2b(ii,iii,iv,v)","141,143,144,145,146,",,
IUCN_2001,"B2ab(ii,iii,v)","B2a,B2b(ii,iii,v)","141,143,144,146,",,
IUCN_2001,"B2ab(iii,iv,v); C2a(i)","B2a,B2b(iii,iv,v); C2a(i)","141,144,145,146,152,",,
IUCN_2001,"B2ab(iii,v)","B2a,B2b(iii,v)","141,144,146,",,
IUCN_2001,"B2ab(iii,v); C2(a)(i)","B2a,B2b(iii,v),C2a(i)","141,144,146,152,",,
IUCN_2001,"B2ab(iii,v); C2a(i)","B2a,B2b(iii,v),C2a(i)","141,144,146,152,",,
IUCN_2001,"B2ab(iii,v); C2a(ii); D","B2a,B2b(iii,v),C2a(ii),D","141,144,146,158,154,",,
IUCN_2001,"B2ac(ii,iv); D1","B2a,B2c(ii,iv),D1","141,148,150,155,",,
